ID,ADDRESS,Longitude,Latitude,Match Score
1,"1114 E 62ND ST,CHICAGO,IL,60637",-87.59876205939742,41.78233197973221,100
2,"12033 12TH AVE NE,SEATTLE,WA,98125",-122.31536683734298,47.71677655061558,100
3,"25500 SW 137TH AVE,HOMESTEAD,FL,33032",-80.41404066626664,25.529848838006078,100
4,"14765 CHAMPIONS VIEW PKWY,ALPHARETTA,GA,30004",-84.27387581405864,34.142304809830286,100
5,"4001 E MADISON ST,PHOENIX,AZ,85034",-111.9950390011049,33.446222536007944,100
6,"11790 NW SOUTH RIVER DR,MEDLEY,FL,33178",-80.35947900282194,25.880701265242276,100
7,"8121 SW 162ND ST,MIAMI,FL,33157",-80.32458220623647,25.620129814194634,100
8,"5400 CARILLON PT,KIRKLAND,WA,98033",-122.20550808226955,47.65508859309137,100
9,"11217 N 41ST ST,PHOENIX,AZ,85028",-111.99160770140193,33.5892449615473,100
10,"16193 W LATHAM ST,GOODYEAR,AZ,85338",-112.40736946110026,33.45805908248665,100
11,"12636 TOTEM LAKE BLVD NE,KIRKLAND,WA,98034",-122.18289118922729,47.712588533801686,100
12,"7 BULFINCH PL STE 500,BOSTON,MA,2114",-71.06131160215536,42.36183195484887,100
13,"6354 W GRAND AVE,CHICAGO,IL,60639",-87.78497659963786,41.92252538722132,100
14,"7740 159TH PL NE,REDMOND,WA,98052",-122.12772377969245,47.67321306687483,100
15,"614 W MONTROSE AVE,CHICAGO,IL,60613",-87.6471221626598,41.96194055107419,100
16,"10608 SW 71ST LN,MIAMI,FL,33173",-80.36518724652248,25.702213582444074,100
17,"7862 SW 67TH AVE,SOUTH MIAMI,FL,33143",-80.30117523870491,25.697026190206884,100
18,"3340 PACHTREE RD STE 1800,ATLANTA,GA,30326",-84.37049560452391,33.847630076970816,97.45
19,"5424 WOODLAND AVE,WESTERN SPRINGS,IL,60558",-87.90267302091367,41.79058656179839,100
20,"3613 N ASHLAND AVE,CHICAGO,IL,60613",-87.66884860008429,41.94748317447841,100
21,"3805 E WINDSONG DR,PHOENIX,AZ,85048",-112.0005225259813,33.293849426924154,100
22,"8984 W POTTER DR,PEORIA,AZ,85382",-112.25188281026291,33.67303172297456,100
23,"31515 NE 141ST ST,DUVALL,WA,98019",-121.9173191403585,47.72464476885485,100
24,"5506 E CALLE NARANJO,GUADALUPE,AZ,85283",-111.96500010414282,33.36614053387486,100
25,"14542 N 90TH LN,PEORIA,AZ,85381",-112.25267112825662,33.615417621850696,100
26,"1043 NE 114TH ST,BISCAYNE PARK,FL,33161",-80.1764459815698,25.88052130578114,100
27,"1615 S 52ND ST,TEMPE,AZ,85281",-111.96948685309349,33.411226036684226,100
28,"70 S VAL VISTA DR,GILBERT,AZ,85296",-111.75723929505666,33.349303218233075,100
29,"9577 HARDING AVE,MIAMI,FL,33154",-80.12363513006062,25.886648644640413,100
30,"8623 NE 19TH PL,BELLEVUE,WA,98004",-122.2250515791704,47.627101166931425,100
31,"1293 N HAZELTON DR,CHANDLER,AZ,85226",-111.90581062431716,33.32517276672883,100
32,"2043 N 90TH PL,CHANDLER,AZ,85224",-111.8883407264427,33.33668233516471,100
33,"666 DUNDEE RD STE 1301,NORTHBROOK,IL,60062",-87.7979019972486,42.13797751448059,100
34,"4760 W JOSHUA BLVD,CHANDLER,AZ,85226",-111.92539066631596,33.31410148801012,100
35,"5118 S OTHELLO ST,SEATTLE,WA,98118",-122.26939000294982,47.536997467995214,100
36,"800 E NORTHWEST HWY,MOUNT PROSPECT,IL,60056",-87.92540474232536,42.05846045262115,100
37,"134 W SLADE ST STE 4,PALATINE,IL,60067",-88.04764700496925,42.111277506738624,100
38,"709 15TH AVE,SEATTLE,WA,98122",-122.31294513787749,47.608381150108016,100
39,"3213 N 41ST PL,PHOENIX,AZ,85018",-111.99232594668503,33.48644360130953,100
40,"15755 N 162ND LN,SUN CITY,AZ,85374",-112.40893670935594,33.62741359212781,100
41,"17422 108TH AVE SE 200,RENTON,WA,98055",-122.19693523933962,47.44588261816927,100
42,"20 S BUENA VISTA AVE,GILBERT,AZ,85296",-111.78708859336892,33.3493157072688,100
43,"454 MELLVIEW AVE SW,ATLANTA,GA,30310",-84.40258790012568,33.717723318244154,100
44,"712 E IVANHOE ST,CHANDLER,AZ,85225",-111.83038799643069,33.31746753459683,100
45,"11500 E COCHISE DR,SCOTTSDALE,AZ,85259",-111.83250593572507,33.58007658439688,100
46,"15414 N 7TH ST 8-166,PHOENIX,AZ,85022",-112.06557749401125,33.626360992727044,100
47,"10838 E RIVERSIDE DR,BOTHELL,WA,98011",-122.19401649301606,47.75404752127553,100
48,"2501 SW 9TH ST,MIAMI,FL,33135",-80.23693700332052,25.76448584243869,100
49,"138 SOUTH ST,JAMAICA PLAIN,MA,2130",-71.11445119190702,42.305357331552244,100
50,"515 E CAREFREE HWY 947,PHOENIX,AZ,85085",-112.06748596954507,33.79901248207258,99.06
51,"1255 PENNSYLVANIA AVE,MIAMI BEACH,FL,33139",-80.1340672467527,25.783922344345566,100
52,"1448 RAINTREE DR APT 3,ROSWELL,GA,30076",-84.32760875552466,34.01602052554238,100
53,"8330 SW 5TH ST,MIAMI,FL,33144",-80.33059563503163,25.764493511879973,100
54,"2246 W HARRISON ST,CHICAGO,IL,60612",-87.68325197868201,41.87398348090895,100
55,"9173 N 116TH PL,SCOTTSDALE,AZ,85259",-111.82874698742697,33.56940063814143,100
56,"2457 W RUNNING DEER TRL,PHOENIX,AZ,85085",-112.11263483954254,33.738056851428915,100
57,"13800 SW 8TH ST STE 259,MIAMI,FL,33184",-80.41927573936732,25.76082698372489,100
58,"4529 N 10TH ST,PHOENIX,AZ,85014",-112.06062253194887,33.50319399661534,100
59,"1900 NW 97TH AVE,DORAL,FL,33172",-80.35295754687564,25.7916380119471,100
60,"4758 W FLAGLER ST APT 15,CORAL GABLES,FL,33134",-80.27304842149515,25.771382598099898,100
61,"2921 W CITRUS WAY,PHOENIX,AZ,85017",-112.12262481084215,33.52977464605575,100
62,"2570 S VAL VISTA DR,GILBERT,AZ,85295",-111.75768957089525,33.303764799285574,100
63,"630 S WASHINGTON ST,SEATTLE,WA,98104",-122.32543878365561,47.60088274143682,100
64,"1504 DORCHESTER AVE,DORCHESTER,MA,2122",-71.06022120037126,42.29937730464124,100
65,"7650 S 196TH ST,KENT,WA,98032",-122.2374146348971,47.426305887022345,100
66,"2132 CAMPBELLTON RD SW,ATLANTA,GA,30311",-84.45844507052489,33.706009901923075,100
67,"4219 N MULLIGAN AVE,CHICAGO,IL,60634",-87.78545118299562,41.9572204313973,100
68,"2230 E MONTEROSA ST,PHOENIX,AZ,85016",-112.03325419315755,33.49579348857323,100
69,"2136 E GONDOLA LN,GILBERT,AZ,85234",-111.74478747497535,33.37376312044158,100
70,"7425 NW 79TH ST,MEDLEY,FL,33166",-80.31967099770888,25.845337470921496,100
71,"479 E HORSESHOE PL,CHANDLER,AZ,85249",-111.83334890372743,33.24000391328703,100
72,"16 NE 172ND ST,NORTH MIAMI BEACH,FL,33162",-80.20019593657935,25.932817592254253,100
73,"1790 SW 27TH AVE,MIAMI,FL,33145",-80.23852336231555,25.755224132796386,100
74,"17615 SW 119TH AVE,MIAMI,FL,33177",-80.38527573476787,25.604367519544606,100
75,"310 N DOBSON RD STE 5,MESA,AZ,85201",-111.87522246123993,33.42057898334255,100
76,"8201 NW 64TH ST UNIT 1,MIAMI,FL,33166",-80.3303363827664,25.831685152757885,100
77,"13610 N SCOTTSDALE RD,SCOTTSDALE,AZ,85254",-111.92593750167956,33.61026199702651,100
78,"600 N LAKE SHORE DR,CHICAGO,IL,60611",-87.61479932238113,41.89328419598433,100
79,"1411 4TH AVE,SEATTLE,WA,98101",-122.33612361472856,47.6094993798106,100
80,"901 PONCE DE LEON BLVD,CORAL GABLES,FL,33134",-80.25911442947526,25.763310573884905,100
81,"18110 E SUNNYBROOK LN,GILBERT,AZ,85298",-111.69201744333469,33.22408085373427,100
82,"3621 E WIER AVE,PHOENIX,AZ,85040",-112.0027703847749,33.403490755429154,100
83,"3625 W BELMONT AVE,CHICAGO,IL,60618",-87.71840241165758,41.939185593248865,100
84,"4825 SCOTT ST STE 208,SCHILLER PARK,IL,60176",-87.8759477417337,41.9668568121115,100
85,"2833 S QUINN ST,CHICAGO,IL,60608",-87.65160048736797,41.84217755302891,100
86,"2270 ENON RD SW,ATLANTA,GA,30331",-84.55874552231214,33.69369064164056,100
87,"4145 S ROGER WAY,CHANDLER,AZ,85249",-111.79645042484456,33.24557821417487,100
88,"5040 E SHEA BLVD STE 254,SCOTTSDALE,AZ,85254",-111.9717508889604,33.58358365650448,100
89,"7150 W ROOSEVELT ST,PHOENIX,AZ,85043",-112.21569402712197,33.461054020310314,100
90,"9655 SE 36TH ST STE 107,MERCER ISLAND,WA,98040",-122.20905765062626,47.577763524640915,100
91,"6810 152ND AVE NE,REDMOND,WA,98052",-122.13830868813125,47.66692736077445,100
92,"6099 N SAUGANASH AVE,CHICAGO,IL,60646",-87.73622401418918,41.99168765544509,100
93,"12980 ORTEGA LN,NORTH MIAMI,FL,33181",-80.15567637987239,25.896942334201615,100
94,"600 SW KENYON ST APT H20,SEATTLE,WA,98106",-122.34391551573944,47.53200248234536,100
95,"901 S 7TH AVE,PHOENIX,AZ,85007",-112.08254162784779,33.438936147577564,100
96,"3314 FUHRMAN AVE E APT 1,SEATTLE,WA,98102",-122.32192760441538,47.65183457064072,100
97,"20609 SE 271ST ST,COVINGTON,WA,98042",-122.0669342680215,47.35896961640506,100
98,"17403 S DIXIE HWY,MIAMI,FL,33157",-80.34764895231811,25.608229690980234,100
99,"1725 W HARRISON ST,CHICAGO,IL,60612",-87.67001619919668,41.87410342594319,100
100,"990 E RIGGS RD,CHANDLER,AZ,85249",-111.82410492181037,33.21888734809804,100
